tier,std_auc,std_frame_auc,std_video_auc,std_ci_low,std_ci_high,std_ece,rob_auc,rob_frame_auc,rob_video_auc,rob_ci_low,rob_ci_high,rob_ece,delta_auc,p_value,std_thresh,rob_thresh,fdr_p_value,is_significant
clean,0.8142092746730083,0.7968997278121465,0.8142092746730083,0.7341193528693528,0.8859121049549763,0.3770070416343789,0.8133174791914388,0.8105271527617057,0.8133174791914388,0.7115022013274337,0.8939480027548209,0.3346804850374223,-0.08917954815694795,0.976,0.26911723613739014,0.23551203310489655,0.987,False
weak_compression,0.7526753864447087,0.7353868347406547,0.7526753864447087,0.661089774078478,0.8322230038990438,0.4582197082655944,0.7666468489892985,0.7574234019080126,0.7666468489892985,0.6715998550724638,0.8488124134199134,0.4242197909380628,1.3971462544589808,0.531,0.26911723613739014,0.23551203310489655,0.987,False
medium_compression,0.7395957193816884,0.7122891325059316,0.7395957193816884,0.6541712699738622,0.825709706959707,0.4746521377823241,0.7574316290130796,0.7417692636445343,0.7574316290130796,0.6544162375844438,0.8436259420289854,0.4496987830264641,1.7835909631391145,0.519,0.26911723613739014,0.23551203310489655,0.987,False
strong_compression,0.6581450653983354,0.6394269146505788,0.6581450653983354,0.550276326746915,0.751444912005796,0.5469459349277151,0.6789536266349584,0.6565537354481729,0.6789536266349584,0.5644948924731182,0.7762746600837511,0.5531492686734487,2.0808561236623,0.428,0.26911723613739014,0.23551203310489655,0.987,False
extreme_compression,0.6284185493460166,0.603767892056289,0.6284185493460166,0.5145723449750534,0.7335408909272546,0.5775530155001963,0.6400118906064209,0.6127827480892185,0.6400118906064209,0.5169294314857624,0.7418374741200828,0.5915818168183291,1.1593341260404344,0.657,0.26911723613739014,0.23551203310489655,0.987,False
resize_75,0.7089774078478002,0.7201369316463461,0.7089774078478002,0.5882051991150442,0.8246742361577831,0.20970735257521833,0.7571343638525564,0.7707529394726342,0.7571343638525564,0.6412855072463768,0.8522275153335079,0.3137587367105698,4.815695600475623,0.188,0.26911723613739014,0.23551203310489655,0.94,False
resize_50,0.5576694411414982,0.5901083781891912,0.5576694411414982,0.43333068362480126,0.6893805967400797,0.17167293170473213,0.7080856123662307,0.7128357090017933,0.7080856123662307,0.5862037387899457,0.8108037603305784,0.3461127146966649,15.04161712247325,0.013,0.26911723613739014,0.23551203310489655,0.1725,False
resize_25,0.5609393579072532,0.6005504101276031,0.5609393579072532,0.44180019825595523,0.6912973484848486,0.28056538093279176,0.6043400713436385,0.6324009325664177,0.6043400713436385,0.47760441745855486,0.7184734234234235,0.40955163386590987,4.340071343638529,0.314,0.26911723613739014,0.23551203310489655,0.987,False
gaussian_blur,0.5442925089179549,0.5788149250383008,0.5442925089179549,0.42551125892006825,0.673486861939292,0.1737716356529656,0.6807372175980976,0.6909901844828786,0.6807372175980976,0.5618288528149719,0.7919951026209415,0.33764992285280193,13.644470868014269,0.023,0.26911723613739014,0.23551203310489655,0.1725,False
motion_blur,0.753269916765755,0.7394392674639674,0.753269916765755,0.6367424242424242,0.8500331286360698,0.23329908698166416,0.7541617122473246,0.7534023481704347,0.7541617122473246,0.643585778963538,0.8415928768201495,0.35955637410953833,0.08917954815695905,0.987,0.26911723613739014,0.23551203310489655,0.987,False
gaussian_noise,0.6168252080856123,0.5686086259553907,0.6168252080856123,0.5084780389389897,0.7188267614738203,0.5484458406429045,0.6197978596908442,0.574334616416747,0.6197978596908442,0.4981585914085914,0.7369556579468886,0.39563512937862694,0.29726516052319685,0.923,0.26911723613739014,0.23551203310489655,0.987,False
color_jitter,0.8049940546967895,0.7802432013380795,0.8049940546967895,0.7217617272668976,0.8760809312638581,0.39245518956180536,0.8032104637336505,0.7885277860208748,0.8032104637336505,0.6967990522151212,0.8839299609911876,0.3493677482974966,-0.178359096313907,0.956,0.26911723613739014,0.23551203310489655,0.987,False
resize_50_compress_70,0.6614149821640903,0.650383647146855,0.6614149821640903,0.5501128871128871,0.7698330304217695,0.36542737521649743,0.6563614744351962,0.661729138298975,0.6563614744351962,0.5295204858767955,0.7740826368790277,0.4108206253692014,-0.5053507728894124,0.883,0.26911723613739014,0.23551203310489655,0.987,False
screenshot_recompress,0.6614149821640903,0.650383647146855,0.6614149821640903,0.5501128871128871,0.7698330304217695,0.36542737521649743,0.6563614744351962,0.661729138298975,0.6563614744351962,0.5295204858767955,0.7740826368790277,0.4108206253692014,-0.5053507728894124,0.883,0.26911723613739014,0.23551203310489655,0.987,False
social_media_pipeline,0.6233650416171225,0.6142799232705707,0.6233650416171225,0.5164653049091218,0.7240669113495201,0.4883162442491303,0.6111771700356718,0.6146805377875402,0.6111771700356718,0.4941296552576888,0.7197051732009359,0.5121151662696507,-1.2187871581450627,0.705,0.26911723613739014,0.23551203310489655,0.987,False
